,Id,PreMinedValue,ImageUrl,FullName,Name,Symbol,Algorithm,Url,SortOrder,FullyPremined,ProofType,TotalCoinSupply,TotalCoinsFreeFloat,SmartContractAddress,Sponsored,BuiltOn,CoinName
PROPS,796019,N/A,/media/27011028/props.jpg,Props (PROPS),PROPS,PROPS,N/A,/coins/props/overview,2417,0,N/A,1000000000,N/A,0x638E0d82da5F11bD529F3de0C227e7408149b62E,False,7605,Props
MAG**,778961,N/A,/media/27010851/mag.png,Maggie Token (MAG**),MAG**,MAG**,N/A,/coins/magstarstar/overview,2337,0,N/A,3200000000,N/A,0x647f274b3a7248d6cf51b35f08e7e7fd6edfb271,False,7605,Maggie Token
STC,776935,N/A,/media/27010826/stc.jpg,StarChain (STC),STC,STC,N/A,/coins/stc/overview,2318,0,N/A,1000000000,N/A,0x8f136cc8bef1fea4a7b71aa2301ff1a52f084384,False,7605,StarChain
GRAM,842123,N/A,/media/30001931/gram.png,Telegram Open Network (GRAM),GRAM,GRAM,N/A,/coins/gram/overview,2519,0,N/A,5000000000,N/A,N/A,False,N/A,Telegram Open Network
SPC*,784821,N/A,/media/27010909/spc2.jpg,SpaceChain (SPC*),SPC*,SPC*,N/A,/coins/spcstar/overview,2370,0,N/A,1000000000,N/A,QUb39Kx2qoMRnVsdwFjo31jZhQjP1bVH3P,False,112392,SpaceChain
IPC*,776863,N/A,/media/27010824/ipc.jpg,IPChain (IPC*),IPC*,IPC*,N/A,/coins/ipcstar/overview,2316,0,PoS,96000000,N/A,0x622CD54dEb2bB7A051515192417109bcF3fe098f,False,7605,IPChain
NYX,765701,N/A,/media/27010735/nyx.png,NYXCOIN (NYX),NYX,NYX,NeoScrypt,/coins/nyx/overview,2263,0,PoW,N/A,N/A,N/A,False,N/A,NYXCOIN
CUZ,749450,N/A,/media/27010593/cuz.png,Cool Cousin (CUZ),CUZ,CUZ,N/A,/coins/cuz/overview,2209,0,N/A,300000000,N/A,N/A,False,7605,Cool Cousin
GTC*,719426,N/A,/media/27010485/gtcoin.png,Global Tour Coin (GTC*),GTC*,GTC*,Scrypt,/coins/gtcstar/overview,2170,0,N/A,91000000,N/A,N/A,False,N/A,Global Tour Coin
SAF,718463,N/A,/media/27010473/sfu.png,Safinus (SAF),SAF,SAF,N/A,/coins/saf/overview,2161,0,N/A,1200000,N/A,N/A,False,7605,Safinus
